time,operators,notifySiteOps,typeOfArea,instrumentClass,siteFacilityCode,typeOfVegetation,notifyInstrumentMentor,moistureOnVegetation,vegetationConditions,surfaceSoilConditions,approximateHeightOfVegetationInsideFenceMeters,approximateHeightOfVegetationOutsideButNearFenceMeters,reportId,reportKey,reportSiteCode,reportFacilityCode,reportInstrumentClass,reportedOn,reporterId,reportStateCode,reportDataType,reportFrequencyCode,comments,landCoverType_0_1,landCoverType_0_3,heightOfVegetation_0_2,heightOfVegetation_0_4
2024-09-17 17:03:00,Eli Carle,False,Derived from Grazed Grassland ,sfccond,bnf:S20,Mostly Clumped Grass,False,Mostly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,160587,PM-2024-BNF-S20-00011,bnf,S20,sfccond,2024-09-17T20:23:31.476+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-18 16:11:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,160678,PM-2024-BNF-S40-00011,bnf,S40,sfccond,2024-09-18T17:26:27.064+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-20 15:55:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,160951,PM-2024-BNF-S30-00008,bnf,S30,sfccond,2024-09-20T16:00:17.445+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-23 14:41:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,161136,PM-2024-BNF-S30-00017,bnf,S30,sfccond,2024-09-23T17:50:34.178+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-23 20:05:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0.3,0.3,161344,PM-2024-BNF-S40-00023,bnf,S40,sfccond,2024-09-24T20:27:06.478+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-09-24 16:11:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Green W/ Brown Patches because of Hot, Dry Weather",Dry and Dusty ,0,1,161269,PM-2024-BNF-S20-00022,bnf,S20,sfccond,2024-09-24T17:49:43.746+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-30 18:30:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,Unanticipated Conditions - See Comments ,False,Mostly Wet Due to Rain or Dew,,Moist but Not Muddy ,0,1,162151,PM-2024-BNF-S20-00035,bnf,S20,sfccond,2024-10-02T17:58:16.591+00:00,25055,NEW,PMR,WEEKLY,no glass inside the fence,,,,
2024-10-01 16:37:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,162019,PM-2024-BNF-S40-00034,bnf,S40,sfccond,2024-10-01T21:31:10.025+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-01 18:46:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,162006,PM-2024-BNF-S30-00026,bnf,S30,sfccond,2024-10-01T20:19:00.017+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-07 19:42:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,1,1,162661,PM-2024-BNF-S40-00046,bnf,S40,sfccond,2024-10-07T20:47:46.555+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-08 15:54:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,162734,PM-2024-BNF-S30-00037,bnf,S30,sfccond,2024-10-08T17:37:34.488+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-11 19:46:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Mostly Brown due to Hot, Dry Weather",Dry and Dusty ,0,1,163238,PM-2024-BNF-S20-00046,bnf,S20,sfccond,2024-10-11T20:21:33.492+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-16 16:40:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,163633,PM-2024-BNF-S30-00046,bnf,S30,sfccond,2024-10-16T17:52:26.482+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-17 16:09:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,1,1,163793,PM-2024-BNF-S40-00058,bnf,S40,sfccond,2024-10-17T18:22:51.747+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-18 16:52:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0,.5,163974,PM-2024-BNF-S20-00058,bnf,S20,sfccond,2024-10-18T19:32:27.537+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-21 12:27:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.3048,.0508,164153,PM-2024-BNF-S30-00055,bnf,S30,sfccond,2024-10-21T20:04:46.204+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-10-22 19:40:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,Unanticipated Conditions - See Comments ,False,Dry,,Dry and Dusty ,0,0.55,164574,PM-2024-BNF-S20-00070,bnf,S20,sfccond,2024-10-24T19:18:35.727+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-10-25 19:50:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,0.254,0.254,164748,PM-2024-BNF-S40-00070,bnf,S40,sfccond,2024-10-25T20:53:58.675+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-10-29 15:28:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,.25,.25,164978,PM-2024-BNF-S30-00065,bnf,S30,sfccond,2024-10-29T16:45:48.270+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-30 16:22:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,.5,.5,165198,PM-2024-BNF-S40-00082,bnf,S40,sfccond,2024-10-30T18:45:10.809+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-01 15:01:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Muddy or Standing Water  ,0,1,165533,PM-2024-BNF-S20-00082,bnf,S20,sfccond,2024-11-01T18:09:51.475+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-04 19:15:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,165784,PM-2024-BNF-S30-00074,bnf,S30,sfccond,2024-11-04T20:55:42.848+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-05 17:52:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,165960,PM-2024-BNF-S20-00094,bnf,S20,sfccond,2024-11-05T20:14:39.478+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-07 16:20:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,1,1,166276,PM-2024-BNF-S40-00094,bnf,S40,sfccond,2024-11-07T18:13:24.870+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-13 16:35:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,166881,PM-2024-BNF-S20-00106,bnf,S20,sfccond,2024-11-13T16:55:06.234+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-14 18:29:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,1,1,167080,PM-2024-BNF-S40-00106,bnf,S40,sfccond,2024-11-14T19:43:43.540+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-15 18:07:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,167266,PM-2024-BNF-S30-00084,bnf,S30,sfccond,2024-11-15T19:55:13.045+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-18 16:06:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0,1,167488,PM-2024-BNF-S20-00118,bnf,S20,sfccond,2024-11-18T18:18:31.603+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-20 16:25:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,167817,PM-2024-BNF-S30-00093,bnf,S30,sfccond,2024-11-20T18:14:58.916+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-21 16:28:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,1,1,168051,PM-2024-BNF-S40-00118,bnf,S40,sfccond,2024-11-21T18:19:12.420+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-11-25 16:30:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,,,Moist but Not Muddy ,0,0.0254,168587,PM-2024-BNF-S20-00130,bnf,S20,sfccond,2024-11-25T21:36:20.287+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-11-26 16:21:00,Hunter Mcspadden,False,Derived from Grazed Grassland ,sfccond,bnf:S30,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0.2032,0.1016,168817,PM-2024-BNF-S30-00104,bnf,S30,sfccond,2024-11-26T20:55:52.506+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-12-02 16:46:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,169348,PM-2024-BNF-S40-00141,bnf,S40,sfccond,2024-12-02T21:05:36.862+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-03 18:01:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,169567,PM-2024-BNF-S30-00112,bnf,S30,sfccond,2024-12-03T20:12:20.633+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-04 18:01:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,.5,.5,169790,PM-2024-BNF-S20-00139,bnf,S20,sfccond,2024-12-04T21:14:20.511+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-11 20:15:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,170875,PM-2024-BNF-S30-00123,bnf,S30,sfccond,2024-12-11T21:34:56.357+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-12 18:48:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,171059,PM-2024-BNF-S40-00153,bnf,S40,sfccond,2024-12-12T20:21:03.028+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-13 19:04:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,171296,PM-2024-BNF-S20-00151,bnf,S20,sfccond,2024-12-13T20:52:23.013+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-19 15:17:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,1,1,172196,PM-2024-BNF-S30-00132,bnf,S30,sfccond,2024-12-19T20:39:46.514+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-19 17:52:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,.5,.5,172187,PM-2024-BNF-S40-00165,bnf,S40,sfccond,2024-12-19T20:21:26.046+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-20 18:33:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,172365,PM-2024-BNF-S20-00163,bnf,S20,sfccond,2024-12-20T20:36:47.989+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-23 18:30:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,172674,PM-2024-BNF-S20-00175,bnf,S20,sfccond,2024-12-23T20:34:38.391+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-26 16:52:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,173186,PM-2024-BNF-S30-00142,bnf,S30,sfccond,2024-12-26T19:03:10.276+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-27 16:15:00,Eli Carle,False,Natural Forest ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Dry and Dusty ,1,1,173403,PM-2024-BNF-S40-00176,bnf,S40,sfccond,2024-12-27T19:37:22.935+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-12-30 17:13:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,0.0762,0.0762,173752,PM-2024-BNF-S40-00187,bnf,S40,sfccond,2024-12-30T21:28:09.122+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-12-30 18:48:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0.0762,0.0762,173763,PM-2024-BNF-S30-00151,bnf,S30,sfccond,2024-12-30T21:55:54.913+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-01-03 16:35:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Unanticipated Conditions - See Comments ,False,,,Moist but Not Muddy ,0,0.1016,174429,PM-2025-BNF-S40-00011,bnf,S40,sfccond,2025-01-03T22:14:40.462+00:00,25055,NEW,PMR,WEEKLY,no grass inside fence,,,,
2025-01-06 20:00:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Mostly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Muddy or Standing Water  ,0.1016,0.1016,174919,PM-2025-BNF-S40-00024,bnf,S40,sfccond,2025-01-07T21:08:44.321+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-01-09 16:37:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,175296,PM-2025-BNF-S20-00012,bnf,S20,sfccond,2025-01-09T16:49:37.416+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-09 18:05:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,175306,PM-2025-BNF-S30-00011,bnf,S30,sfccond,2025-01-09T17:03:36.116+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-16 16:41:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Uniform Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,176470,PM-2025-BNF-S20-00024,bnf,S20,sfccond,2025-01-16T21:32:45.010+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-16 18:48:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,1,1,176490,PM-2025-BNF-S30-00020,bnf,S30,sfccond,2025-01-16T21:55:25.933+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-16 20:26:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,176481,PM-2025-BNF-S40-00035,bnf,S40,sfccond,2025-01-16T21:45:26.585+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-21 19:44:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Uniform Grass,False,Dry,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,177098,PM-2025-BNF-S20-00034,bnf,S20,sfccond,2025-01-21T20:58:02.386+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-22 16:58:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,177250,PM-2025-BNF-S30-00030,bnf,S30,sfccond,2025-01-22T19:09:07.562+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-24 16:12:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,177574,PM-2025-BNF-S40-00047,bnf,S40,sfccond,2025-01-24T18:30:40.799+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-27 18:51:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,Mostly Wet Due to Rain or Dew,,Muddy or Standing Water  ,0,.075,178024,PM-2025-BNF-S20-00046,bnf,S20,sfccond,2025-01-27T21:33:06.233+00:00,25055,NEW,PMR,WEEKLY,no grass inside fence,,,,
2025-01-28 18:25:00,Eli Carle,False,Natural Forest ,sfccond,bnf:S30,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,178150,PM-2025-BNF-S30-00041,bnf,S30,sfccond,2025-01-28T20:34:10.334+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-01-30 16:26:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,178547,PM-2025-BNF-S40-00059,bnf,S40,sfccond,2025-01-30T16:43:04.393+00:00,24975,NEW,PMR,WEEKLY,,,,,
2025-02-05 16:08:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,0.0762,0.0762,179630,PM-2025-BNF-S30-00053,bnf,S30,sfccond,2025-02-06T19:03:33.665+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-05 18:41:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,0.1016,0.1016,179652,PM-2025-BNF-S40-00073,bnf,S40,sfccond,2025-02-06T19:30:03.000+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-05 20:35:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,Mostly Wet Due to Rain or Dew,,Muddy or Standing Water  ,0,0.127,179619,PM-2025-BNF-S20-00059,bnf,S20,sfccond,2025-02-06T18:45:33.647+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-10 21:52:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,Mostly Wet Due to Rain or Dew,,Moist but Not Muddy ,0,0.1016,180381,PM-2025-BNF-S20-00072,bnf,S20,sfccond,2025-02-11T18:50:19.927+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-19 18:18:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,50-75% Snow Covered ,Fully Green but Noticeably Wilted ,Muddy or Standing Water  ,.012,.02,181643,PM-2025-BNF-S40-00095,bnf,S40,sfccond,2025-02-19T20:32:58.393+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-20 17:57:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Uniform Grass,False,25-50% Snow Covered ,Green W/ Brown Patches due to Freezing Conditions ,Moist but Not Muddy ,0.127,0.127,181898,PM-2025-BNF-S30-00070,bnf,S30,sfccond,2025-02-20T21:44:16.425+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-20 19:30:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,25-50% Snow Covered ,,Muddy or Standing Water  ,0,0.129,181870,PM-2025-BNF-S20-00083,bnf,S20,sfccond,2025-02-20T21:26:48.518+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-27 16:54:00,Hunter Mcspadden,False,Natural Forest ,sfccond,bnf:S40,Mostly Uniform Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0.1016,0.1016,183117,PM-2025-BNF-S40-00110,bnf,S40,sfccond,2025-02-28T15:08:28.916+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-27 18:49:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Uniform Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0.1016,0.1016,183145,PM-2025-BNF-S30-00081,bnf,S30,sfccond,2025-02-28T15:47:57.392+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-02-27 20:40:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,,False,Slightly Wet Due to Rain or Dew,,Moist but Not Muddy ,0,0.1016,183177,PM-2025-BNF-S30-00094,bnf,S30,sfccond,2025-02-28T16:39:14.029+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-03-04 17:00:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,,False,Slightly Wet Due to Rain or Dew,,Moist but Not Muddy ,0,0.254,183848,PM-2025-BNF-S20-00098,bnf,S20,sfccond,2025-03-05T16:36:01.990+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-03-18 17:22:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0.1016,0.1016,185859,PM-2025-BNF-S40-00133,bnf,S40,sfccond,2025-03-18T20:04:28.288+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-04-07 17:53:00,Hunter Mcspadden,False,Derived from Grazed Grassland ,sfccond,bnf:S40,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.3,.3,188828,PM-2025-BNF-S40-00168,bnf,S40,sfccond,2025-04-07T16:39:27.102+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-04-08 15:10:00,Adam Elliott,False,Derived from Grazed Grassland ,sfccond,bnf:S30,Mostly Uniform Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.3,.3,189024,PM-2025-BNF-S30-00135,bnf,S30,sfccond,2025-04-08T21:01:49.670+00:00,25827,NEW,PMR,WEEKLY,,,,,
2025-04-14 18:10:00,Hunter Mcspadden,False,Natural Forest ,sfccond,bnf:S20,Mostly Uniform Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0.4572,0.6096,189948,PM-2025-BNF-S20-00119,bnf,S20,sfccond,2025-04-14T20:46:44.409+00:00,25055,NEW,PMR,WEEKLY,,,,,
2025-05-05 20:53:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Uniform Grass,False,Mostly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0.762,0.1016,193369,PM-2025-BNF-S30-00171,bnf,S30,sfccond,2025-05-05T20:54:19.745+00:00,25055,NEW,PMR,WEEKLY,need to cut glass ,,,,
